Well_ID,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,Water_Quality
,12.99,80.25,2020,6.8,970,0,92,220.0,34.0,4.2,120,28.0,12.0,134.0,7.4,0.6,582.0,1
,13.01,80.2,2020,6.9,1680,0,378,256.0,142.0,61.0,450,120.0,36.0,212.0,2.5,0.85,1008.0,2
,13.02,80.15,2020,7.2,1167,0,305,128.0,69.0,122.0,290,104.0,7.3,104.0,44.0,0.71,700.2,2
,13.04,80.21,2020,7.6,1819,0,805,135.0,124.0,4.0,190,40.0,22.0,407.0,6.4,1.52,1091.4,1
,12.97,80.17,2020,7.6,50,0,12,7.1,1.6,0.8,14,2.4,1.9,4.7,0.0,0.0,30.0,0
,12.98,80.13,2020,7.2,896,0,274,103.0,40.0,27.0,280,58.0,33.0,72.0,6.8,0.1,537.6,1
,12.96,80.11,2020,7.1,2810,0,293,540.0,320.0,47.0,1150,204.0,156.0,92.0,1.6,0.45,1686.0,2
,12.96,80.13,2020,7.2,2780,0,281,526.0,312.0,47.0,1220,212.0,169.0,90.0,1.6,0.38,1668.0,2
,12.9406,80.1375,2020,7.4,419,0,100,38.0,21.0,41.0,146,23.0,21.0,21.0,1.7,0.12,251.4,1
,12.94,80.15,2020,7.4,688,0,189,85.0,44.0,3.4,190,38.0,23.0,72.0,6.8,0.18,412.8,1
,12.93,80.13,2020,7.3,425,0,139,36.0,28.0,1.7,114,29.0,10.0,40.0,3.6,0.12,255.0,0
,12.8989,80.1606,2020,7.5,1731,0,348,95.0,298.0,77.0,440,76.0,61.0,181.0,14.0,0.27,1038.6,2
,12.8875,80.1486,2020,7.6,1020,0,171,37.0,206.0,56.0,350,96.0,27.0,60.0,13.0,0.3,612.0,1
,12.9283,80.1708,2020,7.5,1794,0,458,72.0,277.0,63.0,680,140.0,80.0,92.0,16.0,0.27,1076.4,2
,12.9222,80.2014,2020,7.6,1625,0,207,151.0,305.0,62.0,440,160.0,10.0,158.0,13.0,0.43,975.0,1
,13.0153,80.1367,2020,7.7,1819,0,360,189.0,270.0,57.0,430,124.0,29.0,205.0,29.0,0.71,1091.4,2
,13.0019,80.0694,2020,7.6,1474,0,262,112.0,256.0,60.0,460,108.0,46.0,113.0,19.0,0.35,884.4,2
,13.0483,80.1019,2020,7.7,1260,0,317,71.0,192.0,59.0,260,96.0,5.0,162.0,20.0,0.56,756.0,1
,13.0567,80.0819,2020,7.6,1960,0,561,334.0,8.0,47.0,380,116.0,22.0,241.0,47.0,0.4,1176.0,1
,13.0292,80.08,2020,7.6,2170,0,561,334.0,74.0,72.0,450,148.0,19.0,243.0,54.0,0.5,1302.0,2
,13.0747,80.2625,2020,7.7,507,0,128,89.0,10.0,2.0,110,36.0,5.0,56.0,7.0,0.5,304.2,0
,13.0556,80.2814,2020,7.4,1140,0,220,199.0,21.0,115.0,280,96.0,10.0,116.0,22.0,0.2,684.0,2
