Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,U(ppb),TDS,Water_Quality
12.8336,79.7025,2021,7.8,3930,0,1110,596.0,8.0,72.0,140,32.0,15.0,722.0,23.0,1.76,111,2358.0,2
12.9574,80.1785,2021,7.4,1616,0,336,305.0,78.0,39.0,460,120.0,39.0,153.0,4.0,0.55,0.78,969.6,1
12.8687,80.1101,2021,7.38,1824,0,397,312.0,73.0,98.0,480,116.0,46.0,199.0,2.0,0.64,1.69,1094.4,1
12.3506,79.9014,2021,7.64,962,0,268,163.0,6.0,19.0,250,44.0,34.0,104.0,2.0,0.9,0.47,577.2,1
12.9008,80.1615,2021,7.38,1960,0,445,369.0,44.0,26.0,490,104.0,56.0,214.0,3.0,0.78,2.52,1176.0,1
12.6158,80.1925,2021,7.55,443,0,128,57.0,54.0,3.0,190,24.0,32.0,17.0,6.0,0.59,0.15,265.8,1
12.919,80.0424,2021,7.54,2100,0,628,277.0,40.0,146.0,330,92.0,24.0,169.0,268.0,0.97,0.96,1260.0,2
12.8943,80.0645,2021,7.4,1710,0,403,291.0,52.0,65.0,430,140.0,19.0,182.0,21.0,0.37,0.29,1026.0,1
12.9814,80.156,2021,7.27,2090,0,397,391.0,106.0,40.0,510,132.0,44.0,217.0,2.0,0.89,6.92,1254.0,1
12.9173,80.0856,2021,7.32,2690,0,622,518.0,71.0,53.0,440,80.0,58.0,402.0,4.0,1.11,2.33,1614.0,1
12.8338,80.1667,2021,7.52,909,0,220,170.0,35.0,2.0,340,64.0,44.0,52.0,5.0,0.2,0,545.4,1
12.63,79.8336,2021,7.1,840,0,305,57.0,30.0,25.0,230,76.0,10.0,54.0,0.0,0.99,1.67,504.0,1
12.5269,80.1622,2021,7.82,1328,0,329,178.0,122.0,73.0,460,128.0,34.0,90.0,21.0,0.7,7.84,796.8,1
12.7564,79.8592,2021,7.2,640,0,189,71.0,35.0,37.0,160,28.0,22.0,78.0,4.0,0.33,0.5,384.0,0
12.6061,80.056,2021,7.7,458,0,98,85.0,34.0,8.0,180,24.0,29.0,23.0,8.0,0.51,0.56,274.8,1
12.7318,80.1891,2021,7.86,1639,0,415,213.0,160.0,48.0,280,24.0,54.0,255.0,9.0,1.25,1.66,983.4,1
12.86,80.2417,2021,7.47,409,0,73,64.0,59.0,13.0,140,20.0,22.0,25.0,8.0,0.53,0.22,245.4,1
12.8117,79.9425,2021,7.1,960,0,281,106.0,25.0,41.0,310,72.0,32.0,40.0,1.0,0.36,1.56,576.0,1
12.9036,79.9139,2021,7.1,3080,0,366,638.0,155.0,25.0,440,64.0,68.0,398.0,29.0,0.77,71.3,1848.0,1
12.9004,80.1711,2021,7.29,2680,0,604,504.0,88.0,21.0,780,164.0,90.0,239.0,20.0,0.52,0.26,1608.0,2
8.25,77.5167,2021,7.9,972,0,342,106.0,16.0,26.0,290,88.0,17.0,77.0,5.0,0.86,1,583.2,1
8.2583,77.4528,2021,7.8,1015,0,427,99.0,17.0,36.0,250,68.0,19.0,120.0,4.0,0.77,3.11,609.0,1
8.1917,77.2953,2021,7.8,250,0,24,50.0,6.0,13.0,80,8.0,15.0,12.0,5.0,0.3,0.47,150.0,0
8.2839,77.2719,2021,7.3,843,0,85,170.0,20.0,47.0,200,20.0,36.0,56.0,27.0,0.67,0,505.8,1
8.1778,77.2625,2021,7.1,169,0,37,21.0,13.0,8.0,70,12.0,10.0,4.0,2.0,0.15,0,101.4,0
8.3522,77.2858,2021,7.0,695,0,122,78.0,21.0,69.0,120,32.0,10.0,60.0,26.0,0.32,0,417.0,0
8.2222,77.2583,2021,7.6,729,0,67,156.0,56.0,12.0,120,20.0,17.0,86.0,3.0,0.44,0.08,437.4,0
8.225,77.3583,2021,7.3,667,0,67,92.0,59.0,24.0,160,36.0,17.0,38.0,12.0,0.22,0,400.2,0
8.1031,77.5439,2021,7.6,1386,0,250,227.0,141.0,24.0,260,44.0,36.0,168.0,2.0,1.53,0,831.6,2
8.1031,77.5439,2021,7.6,1386,0,250,227.0,141.0,24.0,260,44.0,36.0,168.0,2.0,1.53,0,831.6,2
8.3097,77.2142,2021,7.5,506,0,61,92.0,109.0,31.0,140,16.0,24.0,26.0,120.0,0.22,0,303.6,1
12.5717,77.8975,2021,7.26,292,0,118,21.0,18.0,0.0,100,25.0,9.0,14.0,3.0,0.33,0.57,175.2,0
12.545,78.3483,2021,7.61,2570,0,586,370.0,360.0,34.0,660,120.0,88.0,278.0,17.0,1.8,46.06,1542.0,2
12.6027,78.1853,2021,8.26,831,0,427,53.0,69.0,2.0,235,30.0,39.0,99.0,15.0,1.66,54.2,498.6,2
12.7278,77.8278,2021,8.07,1114,0,378,149.0,72.0,38.0,365,54.0,56.0,96.0,11.0,0.89,19.76,668.4,1
12.4197,78.2186,2021,7.86,1979,0,464,292.0,160.0,127.0,400,104.0,34.0,210.0,124.0,0.16,3.24,1187.4,2
12.3328,78.3503,2021,7.57,735,0,329,71.0,37.0,5.0,220,52.0,22.0,92.0,1.0,0.39,0.54,441.0,1
12.4721,78.2154,2021,7.93,1647,0,415,277.0,100.0,69.0,410,80.0,51.0,213.0,13.0,0.8,17.01,988.2,1
12.3825,78.4133,2021,7.78,2940,0,610,441.0,140.0,251.0,740,132.0,100.0,275.0,10.0,0.86,6.99,1764.0,2
12.6047,78.2494,2021,7.22,1459,0,375,235.0,156.0,0.0,390,58.0,60.0,153.0,4.0,1.06,72.77,875.4,1
12.5639,77.9128,2021,7.36,722,0,336,71.0,23.0,3.0,235,54.0,24.0,70.0,5.0,0.52,0.55,433.2,0
12.3013,78.2795,2021,7.25,2930,0,305,683.0,100.0,39.0,660,172.0,56.0,256.0,6.0,0.47,5.54,1758.0,2
12.6636,78.0122,2021,7.76,2630,0,476,384.0,163.0,291.0,710,184.0,61.0,342.0,4.0,0.6,1.19,1578.0,2
12.3408,78.2458,2021,7.39,2680,0,403,498.0,94.0,128.0,620,112.0,83.0,245.0,5.0,1.53,4.25,1608.0,2
12.5933,77.8681,2021,7.57,528,0,262,28.0,28.0,18.0,175,52.0,11.0,50.0,4.0,1.0,9.83,316.8,0
11.6467,77.8236,2021,7.8,1001,0,439,50.0,59.0,18.0,380,48.0,63.0,30.0,14.0,1.54,10,600.6,2
11.6472,77.8233,2021,7.5,1159,0,195,128.0,139.0,35.0,360,48.0,58.0,84.0,3.0,1.04,8,695.4,1
11.6472,77.8233,2021,7.6,845,0,189,28.0,152.0,6.0,310,52.0,44.0,37.0,1.0,1.48,15,507.0,1
11.6436,77.825,2021,7.8,2700,0,573,248.0,522.0,62.0,810,92.0,141.0,220.0,57.0,1.46,24,1620.0,2
11.4972,78.6458,2021,7.8,1198,0,378,142.0,141.0,5.0,510,44.0,97.0,41.0,3.0,0.58,1.65,718.8,1
11.7003,77.8753,2021,7.2,2460,0,732,291.0,204.0,30.0,610,32.0,129.0,238.0,43.0,1.47,35,1476.0,2
11.5706,77.8989,2021,7.8,1050,0,214,78.0,125.0,33.0,360,56.0,53.0,40.0,6.0,1.54,7.5,630.0,2
11.5706,77.8992,2021,7.9,2470,0,659,340.0,201.0,40.0,560,32.0,117.0,268.0,17.0,1.4,2.56,1482.0,2
11.5706,77.7922,2021,7.9,1621,0,500,106.0,158.0,25.0,290,44.0,44.0,221.0,2.0,1.15,25.5,972.6,1
11.7578,77.8933,2021,7.7,427,0,171,50.0,19.0,3.0,150,24.0,22.0,31.0,24.0,0.51,0.92,256.2,0
11.5925,78.1092,2021,7.7,3250,0,512,603.0,112.0,60.0,540,48.0,102.0,349.0,5.0,0.77,2.02,1950.0,2
11.6264,78.7833,2021,7.6,3660,0,317,510.0,626.0,72.0,1160,104.0,219.0,172.0,18.0,0.57,11.35,2196.0,2
11.6703,78.1564,2021,7.7,1328,0,451,113.0,82.0,50.0,510,72.0,80.0,76.0,1.0,0.62,1.76,796.8,1
11.4381,78.5242,2021,7.4,1060,0,433,85.0,82.0,22.0,430,60.0,68.0,26.0,35.0,0.3,0.57,636.0,1
11.5653,78.0886,2021,7.5,6710,0,427,1340.0,402.0,71.0,1130,124.0,199.0,618.0,21.0,0.97,12.6,4026.0,2
11.8342,78.0839,2021,7.8,2970,0,677,347.0,283.0,68.0,610,48.0,119.0,312.0,1.0,1.39,1.8,1782.0,2
11.6572,78.3953,2021,7.7,1329,0,366,163.0,91.0,76.0,480,84.0,66.0,77.0,5.0,0.29,1.84,797.4,1
11.5736,78.0728,2021,7.5,673,0,146,89.0,28.0,9.0,220,44.0,27.0,24.0,1.0,0.21,0.4,403.8,0
11.5147,78.0917,2021,7.8,1208,0,476,110.0,86.0,38.0,360,52.0,56.0,110.0,4.0,0.69,0.21,724.8,1
11.7742,78.2094,2021,6.9,263,0,12,170.0,8.0,22.0,210,16.0,41.0,18.0,6.0,0.11,0.21,157.8,2
9.9958,77.6292,2021,7.9,677,0,183,74.0,38.0,50.0,235,30.0,39.0,46.0,3.0,1.02,2.87,406.2,1
9.9036,77.6233,2021,7.73,1250,0,244,170.0,144.0,56.0,475,42.0,90.0,69.0,6.0,1.82,1.48,750.0,2
10.1528,77.6583,2021,7.83,1450,0,641,110.0,34.0,9.0,410,94.0,43.0,143.0,4.0,0.59,2.69,870.0,1
9.925,77.5417,2021,7.8,570,0,73,85.0,48.0,59.0,200,44.0,22.0,39.0,4.0,0.37,0.08,342.0,1
9.9183,77.5217,2021,7.4,2830,0,409,656.0,48.0,184.0,840,84.0,153.0,276.0,9.0,1.41,7.61,1698.0,2
9.9917,77.4361,2021,7.93,1566,0,513,138.0,91.0,112.0,325,70.0,36.0,212.0,8.0,0.64,1.16,939.6,2
10.0989,77.5717,2021,7.52,1233,0,415,135.0,38.0,50.0,355,72.0,43.0,117.0,6.0,0.84,7.21,739.8,1
9.9625,77.5694,2021,7.58,2630,0,366,532.0,154.0,174.0,1040,212.0,124.0,138.0,3.0,0.99,10.76,1578.0,2
10.1208,77.55,2021,8.0,250,0,67,18.0,38.0,1.0,50,4.0,10.0,35.0,1.0,0.36,0.4,150.0,0
9.9392,77.3017,2021,7.8,545,0,244,18.0,29.0,31.0,200,50.0,18.0,35.0,5.0,0.98,0.66,327.0,0
10.0278,77.475,2021,7.6,150,0,43,18.0,19.0,1.0,40,8.0,5.0,16.0,0.0,0.29,0.02,90.0,0
9.8083,77.3333,2021,7.91,160,0,43,11.0,19.0,13.0,40,10.0,4.0,16.0,4.0,0.1,0.32,96.0,0
9.7358,77.5203,2021,7.75,540,0,244,28.0,34.0,5.0,200,48.0,19.0,32.0,3.0,0.71,1.14,324.0,0
9.9625,77.45,2021,7.87,890,0,397,28.0,48.0,29.0,310,64.0,36.0,60.0,4.0,0.72,0.72,534.0,1
12.8572,78.6575,2021,7.2,1530,0,634,135.0,35.0,20.0,300,24.0,58.0,186.0,2.0,1.76,7.02,918.0,2
12.7125,79.2231,2021,7.51,1447,0,268,184.0,170.0,22.0,340,52.0,51.0,124.0,4.0,0.8,15.48,868.2,1
12.5397,79.1522,2021,7.1,925,0,256,78.0,25.0,37.0,260,44.0,36.0,42.0,3.0,0.56,8.13,555.0,1
12.4658,79.3497,2021,7.3,1843,0,451,241.0,92.0,28.0,500,64.0,83.0,112.0,7.0,0.57,2.85,1105.8,1
12.4361,79.4181,2021,7.8,692,0,268,35.0,5.0,14.0,240,52.0,27.0,20.0,4.0,0.37,0,415.2,0
12.1267,79.0856,2021,7.43,1736,0,165,323.0,271.0,56.0,440,108.0,41.0,180.0,6.0,1.01,4.17,1041.6,1
12.7236,79.1256,2021,7.3,2580,0,488,404.0,186.0,111.0,650,132.0,78.0,245.0,5.0,0.88,6.78,1548.0,2
12.425,79.1467,2021,7.4,1485,0,165,284.0,119.0,53.0,450,108.0,44.0,106.0,3.0,0.47,4.8,891.0,1
12.2072,78.7036,2021,7.8,1192,0,195,135.0,118.0,86.0,560,148.0,46.0,8.0,2.0,0.28,2.8,715.2,1
12.7828,79.2558,2021,7.5,1073,0,207,103.0,121.0,39.0,280,68.0,27.0,73.0,3.0,0.55,2.95,643.8,1
12.7078,79.5611,2021,7.08,5580,0,207,1418.0,304.0,74.0,960,184.0,122.0,737.0,19.0,1.63,1.77,3348.0,2
12.7078,79.5611,2021,7.08,5580,0,207,1418.0,304.0,74.0,960,184.0,122.0,737.0,19.0,1.63,1.77,3348.0,2
12.2692,78.9436,2021,7.3,2320,0,329,340.0,144.0,185.0,620,92.0,95.0,154.0,13.0,0.6,3.72,1392.0,2
12.4886,79.1244,2021,7.2,1309,0,415,121.0,40.0,19.0,350,64.0,46.0,74.0,7.0,0.36,1.78,785.4,1
12.3592,79.6022,2021,7.7,1366,0,549,142.0,136.0,43.0,640,40.0,131.0,88.0,2.0,0.81,3.33,819.6,2
12.1556,78.9433,2021,7.3,1384,0,244,177.0,41.0,42.0,420,116.0,32.0,25.0,7.0,0.37,2.49,830.4,1
12.1086,79.8356,2021,7.4,2260,0,488,340.0,40.0,26.0,610,124.0,73.0,110.0,48.0,0.35,1.45,1356.0,2
8.7625,77.6403,2021,7.47,1626,0,305,340.0,16.0,13.0,490,96.0,61.0,120.0,47.0,0.66,1.32,975.6,1
8.7917,77.4333,2021,7.59,1444,0,549,142.0,36.0,48.0,410,84.0,49.0,109.0,55.0,0.6,1.08,866.4,1
8.7194,77.4361,2021,7.0,749,0,378,64.0,18.0,41.0,200,40.0,24.0,97.0,31.0,0.45,0.72,449.4,0
8.7194,77.4361,2021,7.6,402,0,159,21.0,40.0,22.0,150,40.0,12.0,24.0,3.0,0.37,0,241.2,0
8.1667,77.6167,2021,7.2,4850,0,220,1014.0,282.0,74.0,1230,284.0,126.0,422.0,19.0,1.58,9.78,2910.0,2
9.1667,77.4,2021,7.74,2680,0,805,369.0,132.0,68.0,750,172.0,78.0,286.0,62.0,0.46,5.81,1608.0,2
8.5333,77.4653,2021,7.54,951,0,366,106.0,22.0,31.0,350,80.0,36.0,53.0,7.0,0.34,0,570.6,1
8.6708,77.4456,2021,7.5,296,0,67,43.0,5.0,11.0,100,16.0,15.0,14.0,3.0,0.55,BDL,177.6,0
9.0667,77.3458,2021,7.16,3220,0,390,723.0,91.0,86.0,1130,272.0,109.0,132.0,28.0,0.49,4.47,1932.0,2
9.0667,77.3458,2021,7.4,3520,0,427,603.0,307.0,80.0,660,116.0,90.0,356.0,30.0,1.41,3.47,2112.0,2
8.4972,77.5986,2021,7.5,1028,0,189,142.0,93.0,42.0,380,84.0,41.0,44.0,8.0,1.21,5.38,616.8,1
8.5125,77.5417,2021,7.72,418,0,244,50.0,6.0,11.0,210,20.0,39.0,10.0,34.0,0.15,0,250.8,1
8.8625,77.6528,2021,7.56,1760,0,378,298.0,43.0,16.0,420,64.0,63.0,177.0,6.0,1.31,1.96,1056.0,1
8.5711,77.7011,2021,7.4,488,0,281,21.0,6.0,7.0,240,44.0,32.0,20.0,1.0,0.98,1.34,292.8,1
8.3167,77.5792,2021,7.6,1306,0,299,163.0,115.0,54.0,430,120.0,32.0,76.0,3.0,0.66,1.98,783.6,1
8.7347,77.5208,2021,7.8,3020,0,732,397.0,230.0,63.0,390,44.0,68.0,475.0,7.0,1.5,4.67,1812.0,2
9.4986,77.7,2021,7.48,2450,0,549,355.0,52.0,46.0,560,104.0,73.0,157.0,50.0,0.62,2.4,1470.0,1
8.3086,77.8603,2021,7.2,335,0,146,14.0,9.0,7.0,155,32.0,18.0,5.0,3.0,1.15,BDL,201.0,1
8.5333,77.7917,2021,7.5,1191,0,287,142.0,116.0,44.0,280,68.0,27.0,113.0,10.0,0.79,2.17,714.6,1
9.1183,77.6125,2021,7.64,1233,0,256,156.0,28.0,81.0,380,72.0,49.0,52.0,8.0,0.12,1.92,739.8,1
8.7333,77.7333,2021,7.5,245,0,85,14.0,28.0,16.0,110,16.0,17.0,5.0,7.0,0.1,0.13,147.0,0
9.0167,77.2528,2021,7.6,1261,0,342,121.0,138.0,43.0,360,40.0,63.0,125.0,39.0,0.91,1.37,756.6,1
8.7111,77.3681,2021,7.4,575,0,226,78.0,2.0,38.0,170,40.0,17.0,45.0,46.0,0.54,0,345.0,0
8.9256,77.3542,2021,7.67,1630,0,488,199.0,10.0,28.0,470,84.0,63.0,72.0,51.0,0.54,0.62,978.0,1
9.3403,77.4278,2021,7.55,2340,0,573,220.0,126.0,167.0,300,52.0,41.0,200.0,187.0,1.26,1.16,1404.0,2
8.8692,77.5292,2021,7.4,4260,0,281,978.0,315.0,119.0,1310,164.0,219.0,304.0,24.0,0.91,12.5,2556.0,2
8.7458,77.7,2021,7.6,5700,0,805,1227.0,240.0,92.0,1720,344.0,209.0,449.0,24.0,1.75,18.42,3420.0,2
9.0317,77.2717,2021,7.8,801,0,250,57.0,130.0,41.0,290,68.0,29.0,56.0,1.0,0.95,0.21,480.6,1
8.3331,77.6239,2021,7.4,3200,0,329,645.0,287.0,41.0,700,124.0,95.0,319.0,13.0,1.34,3.24,1920.0,2
8.8769,77.3458,2021,7.83,647,0,311,21.0,4.0,26.0,270,76.0,19.0,4.0,5.0,1.64,0,388.2,2
8.2542,77.7583,2021,7.3,3580,0,281,723.0,200.0,21.0,910,148.0,131.0,269.0,12.0,1.02,11.19,2148.0,2
8.2325,77.7206,2021,7.8,2360,0,305,503.0,147.0,13.0,610,116.0,78.0,204.0,10.0,1.54,2.41,1416.0,2
8.3556,77.6583,2021,7.92,933,0,232,106.0,36.0,56.0,260,40.0,39.0,68.0,27.0,0.46,1.43,559.8,1
8.3861,77.6167,2021,7.3,2760,0,256,319.0,462.0,53.0,600,144.0,58.0,261.0,13.0,0.58,6.03,1656.0,2
8.6611,77.625,2021,7.43,2950,0,329,362.0,312.0,122.0,790,120.0,119.0,223.0,13.0,0.9,4.89,1770.0,2
9.0919,77.4447,2021,7.5,2280,0,317,404.0,191.0,111.0,630,88.0,100.0,179.0,2.0,0.68,4.18,1368.0,2
13.0778,80.0259,2021,7.55,449,0,110,92.0,14.0,3.0,150,44.0,10.0,32.0,3.0,0.69,0.17,269.4,0
13.1104,80.1211,2021,7.21,1956,0,635,284.0,20.0,55.0,600,100.0,85.0,139.0,42.0,0.7,7.91,1173.6,1
13.3288,80.0766,2021,7.31,1170,0,433,142.0,27.0,8.0,210,28.0,34.0,161.0,3.0,0.83,9.92,702.0,1
13.2608,80.2861,2021,7.24,3450,0,348,859.0,198.0,3.0,900,216.0,88.0,361.0,14.0,0.46,3.6,2070.0,2
