Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,U(ppb),TDS
12.7318,80.1891,2021,7.86,1639,0,415,213,160,48,280,24,54,255,9,1.25,1.66,983.4
12.86,80.2417,2021,7.47,409,0,73,64,59,13,140,20,22,25,8,0.53,0.22,245.4
12.8117,79.9425,2021,7.1,960,0,281,106,25,41,310,72,32,40,1,0.36,1.56,576
12.9036,79.9139,2021,7.1,3080,0,366,638,155,25,440,64,68,398,29,0.77,71.3,1848
12.9004,80.1711,2021,7.29,2680,0,604,504,88,21,780,164,90,239,20,0.52,0.26,1608
8.25,77.5167,2021,7.9,972,0,342,106,16,26,290,88,17,77,5,0.86,1,583.2
8.2583,77.4528,2021,7.8,1015,0,427,99,17,36,250,68,19,120,4,0.77,3.11,609
8.1917,77.2953,2021,7.8,250,0,24,50,6,13,80,8,15,12,5,0.3,0.47,150
8.2839,77.2719,2021,7.3,843,0,85,170,20,47,200,20,36,56,27,0.67,0,505.8
8.1778,77.2625,2021,7.1,169,0,37,21,13,8,70,12,10,4,2,0.15,0,101.4
8.3522,77.2858,2021,7,695,0,122,78,21,69,120,32,10,60,26,0.32,0,417
8.2222,77.2583,2021,7.6,729,0,67,156,56,12,120,20,17,86,3,0.44,0.08,437.4
8.225,77.3583,2021,7.3,667,0,67,92,59,24,160,36,17,38,12,0.22,0,400.2
8.1031,77.5439,2021,7.6,1386,0,250,227,141,24,260,44,36,168,2,1.53,0,831.6
8.1031,77.5439,2021,7.6,1386,0,250,227,141,24,260,44,36,168,2,1.53,0,831.6
8.3097,77.2142,2021,7.5,506,0,61,92,109,31,140,16,24,26,120,0.22,0,303.6
12.5717,77.8975,2021,7.26,292,0,118,21,18,0,100,25,9,14,3,0.33,0.57,175.2
12.545,78.3483,2021,7.61,2570,0,586,370,360,34,660,120,88,278,17,1.8,46.06,1542
12.6027,78.1853,2021,8.26,831,0,427,53,69,2,235,30,39,99,15,1.66,54.2,498.6
12.7278,77.8278,2021,8.07,1114,0,378,149,72,38,365,54,56,96,11,0.89,19.76,668.4
12.4197,78.2186,2021,7.86,1979,0,464,292,160,127,400,104,34,210,124,0.16,3.24,1187.4
12.3328,78.3503,2021,7.57,735,0,329,71,37,5,220,52,22,92,1,0.39,0.54,441
12.4721,78.2154,2021,7.93,1647,0,415,277,100,69,410,80,51,213,13,0.8,17.01,988.2
12.3825,78.4133,2021,7.78,2940,0,610,441,140,251,740,132,100,275,10,0.86,6.99,1764
12.6047,78.2494,2021,7.22,1459,0,375,235,156,0,390,58,60,153,4,1.06,72.77,875.4
12.5639,77.9128,2021,7.36,722,0,336,71,23,3,235,54,24,70,5,0.52,0.55,433.2
12.3013,78.2795,2021,7.25,2930,0,305,683,100,39,660,172,56,256,6,0.47,5.54,1758
12.6636,78.0122,2021,7.76,2630,0,476,384,163,291,710,184,61,342,4,0.6,1.19,1578
12.3408,78.2458,2021,7.39,2680,0,403,498,94,128,620,112,83,245,5,1.53,4.25,1608
12.5933,77.8681,2021,7.57,528,0,262,28,28,18,175,52,11,50,4,1,9.83,316.8
11.6467,77.8236,2021,7.8,1001,0,439,50,59,18,380,48,63,30,14,1.54,10,600.6
11.6472,77.8233,2021,7.5,1159,0,195,128,139,35,360,48,58,84,3,1.04,8,695.4
11.6472,77.8233,2021,7.6,845,0,189,28,152,6,310,52,44,37,1,1.48,15,507
11.6436,77.825,2021,7.8,2700,0,573,248,522,62,810,92,141,220,57,1.46,24,1620
11.4972,78.6458,2021,7.8,1198,0,378,142,141,5,510,44,97,41,3,0.58,1.65,718.8
11.7003,77.8753,2021,7.2,2460,0,732,291,204,30,610,32,129,238,43,1.47,35,1476
11.5706,77.8989,2021,7.8,1050,0,214,78,125,33,360,56,53,40,6,1.54,7.5,630
11.5706,77.8992,2021,7.9,2470,0,659,340,201,40,560,32,117,268,17,1.4,2.56,1482
11.5706,77.7922,2021,7.9,1621,0,500,106,158,25,290,44,44,221,2,1.15,25.5,972.6
11.7578,77.8933,2021,7.7,427,0,171,50,19,3,150,24,22,31,24,0.51,0.92,256.2
11.5925,78.1092,2021,7.7,3250,0,512,603,112,60,540,48,102,349,5,0.77,2.02,1950
11.6264,78.7833,2021,7.6,3660,0,317,510,626,72,1160,104,219,172,18,0.57,11.35,2196
11.6703,78.1564,2021,7.7,1328,0,451,113,82,50,510,72,80,76,1,0.62,1.76,796.8
11.4381,78.5242,2021,7.4,1060,0,433,85,82,22,430,60,68,26,35,0.3,0.57,636
11.5653,78.0886,2021,7.5,6710,0,427,1340,402,71,1130,124,199,618,21,0.97,12.6,4026
11.8342,78.0839,2021,7.8,2970,0,677,347,283,68,610,48,119,312,1,1.39,1.8,1782
11.6572,78.3953,2021,7.7,1329,0,366,163,91,76,480,84,66,77,5,0.29,1.84,797.4
11.5736,78.0728,2021,7.5,673,0,146,89,28,9,220,44,27,24,1,0.21,0.4,403.8
11.5147,78.0917,2021,7.8,1208,0,476,110,86,38,360,52,56,110,4,0.69,0.21,724.8
11.7742,78.2094,2021,6.9,263,0,12,170,8,22,210,16,41,18,6,0.11,0.21,157.8
9.9958,77.6292,2021,7.9,677,0,183,74,38,50,235,30,39,46,3,1.02,2.87,406.2
9.9036,77.6233,2021,7.73,1250,0,244,170,144,56,475,42,90,69,6,1.82,1.48,750
10.1528,77.6583,2021,7.83,1450,0,641,110,34,9,410,94,43,143,4,0.59,2.69,870
9.925,77.5417,2021,7.8,570,0,73,85,48,59,200,44,22,39,4,0.37,0.08,342
9.9183,77.5217,2021,7.4,2830,0,409,656,48,184,840,84,153,276,9,1.41,7.61,1698
9.9917,77.4361,2021,7.93,1566,0,513,138,91,112,325,70,36,212,8,0.64,1.16,939.6
10.0989,77.5717,2021,7.52,1233,0,415,135,38,50,355,72,43,117,6,0.84,7.21,739.8
9.9625,77.5694,2021,7.58,2630,0,366,532,154,174,1040,212,124,138,3,0.99,10.76,1578
10.1208,77.55,2021,8,250,0,67,18,38,1,50,4,10,35,1,0.36,0.4,150
9.9392,77.3017,2021,7.8,545,0,244,18,29,31,200,50,18,35,5,0.98,0.66,327
10.0278,77.475,2021,7.6,150,0,43,18,19,1,40,8,5,16,0,0.29,0.02,90
9.8083,77.3333,2021,7.91,160,0,43,11,19,13,40,10,4,16,4,0.1,0.32,96
9.7358,77.5203,2021,7.75,540,0,244,28,34,5,200,48,19,32,3,0.71,1.14,324
9.9625,77.45,2021,7.87,890,0,397,28,48,29,310,64,36,60,4,0.72,0.72,534
12.8572,78.6575,2021,7.2,1530,0,634,135,35,20,300,24,58,186,2,1.76,7.02,918
12.7125,79.2231,2021,7.51,1447,0,268,184,170,22,340,52,51,124,4,0.8,15.48,868.2
12.5397,79.1522,2021,7.1,925,0,256,78,25,37,260,44,36,42,3,0.56,8.13,555
12.4658,79.3497,2021,7.3,1843,0,451,241,92,28,500,64,83,112,7,0.57,2.85,1105.8
12.4361,79.4181,2021,7.8,692,0,268,35,5,14,240,52,27,20,4,0.37,0,415.2
12.1267,79.0856,2021,7.43,1736,0,165,323,271,56,440,108,41,180,6,1.01,4.17,1041.6
12.7236,79.1256,2021,7.3,2580,0,488,404,186,111,650,132,78,245,5,0.88,6.78,1548
12.425,79.1467,2021,7.4,1485,0,165,284,119,53,450,108,44,106,3,0.47,4.8,891
12.2072,78.7036,2021,7.8,1192,0,195,135,118,86,560,148,46,8,2,0.28,2.8,715.2
12.7828,79.2558,2021,7.5,1073,0,207,103,121,39,280,68,27,73,3,0.55,2.95,643.8
12.7078,79.5611,2021,7.08,5580,0,207,1418,304,74,960,184,122,737,19,1.63,1.77,3348
12.7078,79.5611,2021,7.08,5580,0,207,1418,304,74,960,184,122,737,19,1.63,1.77,3348
12.2692,78.9436,2021,7.3,2320,0,329,340,144,185,620,92,95,154,13,0.6,3.72,1392
12.4886,79.1244,2021,7.2,1309,0,415,121,40,19,350,64,46,74,7,0.36,1.78,785.4
12.3592,79.6022,2021,7.7,1366,0,549,142,136,43,640,40,131,88,2,0.81,3.33,819.6
12.1556,78.9433,2021,7.3,1384,0,244,177,41,42,420,116,32,25,7,0.37,2.49,830.4
12.1086,79.8356,2021,7.4,2260,0,488,340,40,26,610,124,73,110,48,0.35,1.45,1356
8.7625,77.6403,2021,7.47,1626,0,305,340,16,13,490,96,61,120,47,0.66,1.32,975.6
8.7917,77.4333,2021,7.59,1444,0,549,142,36,48,410,84,49,109,55,0.6,1.08,866.4
8.7194,77.4361,2021,7,749,0,378,64,18,41,200,40,24,97,31,0.45,0.72,449.4
8.7194,77.4361,2021,7.6,402,0,159,21,40,22,150,40,12,24,3,0.37,0,241.2
8.1667,77.6167,2021,7.2,4850,0,220,1014,282,74,1230,284,126,422,19,1.58,9.78,2910
9.1667,77.4,2021,7.74,2680,0,805,369,132,68,750,172,78,286,62,0.46,5.81,1608
8.5333,77.4653,2021,7.54,951,0,366,106,22,31,350,80,36,53,7,0.34,0,570.6
8.6708,77.4456,2021,7.5,296,0,67,43,5,11,100,16,15,14,3,0.55,BDL,177.6
9.0667,77.3458,2021,7.16,3220,0,390,723,91,86,1130,272,109,132,28,0.49,4.47,1932
9.0667,77.3458,2021,7.4,3520,0,427,603,307,80,660,116,90,356,30,1.41,3.47,2112
8.4972,77.5986,2021,7.5,1028,0,189,142,93,42,380,84,41,44,8,1.21,5.38,616.8
8.5125,77.5417,2021,7.72,418,0,244,50,6,11,210,20,39,10,34,0.15,0,250.8
8.8625,77.6528,2021,7.56,1760,0,378,298,43,16,420,64,63,177,6,1.31,1.96,1056
8.5711,77.7011,2021,7.4,488,0,281,21,6,7,240,44,32,20,1,0.98,1.34,292.8
8.3167,77.5792,2021,7.6,1306,0,299,163,115,54,430,120,32,76,3,0.66,1.98,783.6
8.7347,77.5208,2021,7.8,3020,0,732,397,230,63,390,44,68,475,7,1.5,4.67,1812
9.4986,77.7,2021,7.48,2450,0,549,355,52,46,560,104,73,157,50,0.62,2.4,1470
8.3086,77.8603,2021,7.2,335,0,146,14,9,7,155,32,18,5,3,1.15,BDL,201
8.5333,77.7917,2021,7.5,1191,0,287,142,116,44,280,68,27,113,10,0.79,2.17,714.6
9.1183,77.6125,2021,7.64,1233,0,256,156,28,81,380,72,49,52,8,0.12,1.92,739.8
8.7333,77.7333,2021,7.5,245,0,85,14,28,16,110,16,17,5,7,0.1,0.13,147
9.0167,77.2528,2021,7.6,1261,0,342,121,138,43,360,40,63,125,39,0.91,1.37,756.6
8.7111,77.3681,2021,7.4,575,0,226,78,2,38,170,40,17,45,46,0.54,0,345
8.9256,77.3542,2021,7.67,1630,0,488,199,10,28,470,84,63,72,51,0.54,0.62,978
9.3403,77.4278,2021,7.55,2340,0,573,220,126,167,300,52,41,200,187,1.26,1.16,1404
8.8692,77.5292,2021,7.4,4260,0,281,978,315,119,1310,164,219,304,24,0.91,12.5,2556
8.7458,77.7,2021,7.6,5700,0,805,1227,240,92,1720,344,209,449,24,1.75,18.42,3420
9.0317,77.2717,2021,7.8,801,0,250,57,130,41,290,68,29,56,1,0.95,0.21,480.6
8.3331,77.6239,2021,7.4,3200,0,329,645,287,41,700,124,95,319,13,1.34,3.24,1920
8.8769,77.3458,2021,7.83,647,0,311,21,4,26,270,76,19,4,5,1.64,0,388.2
8.2542,77.7583,2021,7.3,3580,0,281,723,200,21,910,148,131,269,12,1.02,11.19,2148
8.2325,77.7206,2021,7.8,2360,0,305,503,147,13,610,116,78,204,10,1.54,2.41,1416
8.3556,77.6583,2021,7.92,933,0,232,106,36,56,260,40,39,68,27,0.46,1.43,559.8
8.3861,77.6167,2021,7.3,2760,0,256,319,462,53,600,144,58,261,13,0.58,6.03,1656
8.6611,77.625,2021,7.43,2950,0,329,362,312,122,790,120,119,223,13,0.9,4.89,1770
