State,District,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS
Tamilnadu,Namakal,11.1867,78.1681,2019,7.5,1663,0,469.854,219.79,90.3,41.6,570,144,51.0384,103,5.3,0.8,997.8
Tamilnadu,Namakal,11.5125,78.1417,2019,7.6,2580,0,713.934,404.13,134.6,23.6,680,108,99.6464,273.5,19.6,1.7,1548
Tamilnadu,Namakal,11.0883,78.0769,2019,7.6,1610,0,512.568,226.88,99.2,10.6,400,68,55.8992,179.9,38.5,1,966
Tamilnadu,Namakal,11.1083,78.0033,2019,7.5,1975,0,469.854,361.59,85.2,22.2,570,76,92.3552,186.5,11.5,1.4,1185
Tamilnadu,Namakal,11.1567,78.0214,2019,7.5,795,0,274.59,106.35,29.9,8.2,250,28,43.7472,72,4.8,0.9,477
Tamilnadu,Namakal,11.1471,77.9345,2019,7.4,789,0,292.896,85.08,24,13.5,215,30,34.0256,73.7,10.3,1.7,473.4
Tamilnadu,Namakal,11.4717,78.3044,2019,7.4,1740,0,256.284,333.23,115.5,78,550,68,92.3552,134.3,6.8,0.8,1044
Tamilnadu,Namakal,11.5167,78.3417,2019,7.5,1185,0,439.344,106.35,45,56.9,480,60,80.2032,45.6,4,1.4,711
Tamilnadu,Namakal,11.5083,78.3667,2019,7.4,1006,0,317.304,134.71,31.5,26.5,390,56,60.76,50.1,7.5,0.8,603.6
Tamilnadu,Namakal,11.5333,78.35,2019,7.7,1363,0,378.324,198.52,63.5,26.3,320,40,53.4688,149.3,6.6,1,817.8
Tamilnadu,Pudukottai,10.1667,78.9958,2019,7.35,1467,0,378,234,42,36,275,68,26,119,65,0,880.2
Tamilnadu,Pudukottai,10.075,79.0336,2019,7.57,3040,0,598,596,85,12,240,36,36,560,4.4,0.03,1824
Tamilnadu,Pudukottai,10.2306,78.9678,2019,6.67,672,0,171,92,25,15,155,50,7.3,55,7.1,0,403.2
Tamilnadu,Pudukottai,10.5736,79.0167,2019,7.02,2950,0,195,731,76,95,1050,276,88,154,7.6,0,1770
Tamilnadu,Pudukottai,10.575,78.7917,2019,7.42,2100,0,555,341,41,11,425,110,36,192,75,0,1260
Tamilnadu,Pudukottai,10.4125,78.6667,2019,6.99,270,0,134,18,1.3,1.1,106,37,3.4,5,2.7,0,162
Tamilnadu,Pudukottai,10.4778,78.9167,2019,7.38,4100,0,610,880,236,0.33,490,80,71,628,5.9,0.97,2460
Tamilnadu,Pudukottai,9.9333,79.1417,2019,7.41,13140,0,293,4033,356,9.1,860,40,185,2328,31,0.22,7884
Tamilnadu,Pudukottai,10.3861,78.8042,2019,7.58,3460,0,866,525,40,2.1,900,72,175,321,8,1.35,2076
Tamilnadu,Pudukottai,10.3792,78.8,2019,7.09,4600,0,464,1321,36,73,1640,208,272,281,5,0.9,2760
Tamilnadu,Pudukottai,10.55,79.05,2019,6.25,302,0,18,64,0.95,30,115,32,8.5,15,1.2,0,181.2
Tamilnadu,Pudukottai,10.4303,78.9786,2019,7.06,650,0,250,78,22,0.1,200,48,19,41,10,0.57,390
Tamilnadu,Pudukottai,10.2333,78.7458,2019,7.47,3870,0,537,882,155,4,460,48,83,623,12,0.88,2322
Tamilnadu,Pudukottai,10.2458,78.75,2019,7.67,1310,0,439,163,23,21,410,66,59,71,6.4,0.38,786
Tamilnadu,Pudukottai,10.3333,78.8625,2019,7.22,608,0,183,78,32,0,155,38,15,53,2,0.28,364.8
Tamilnadu,Pudukottai,10.3469,78.6172,2019,7.51,850,0,439,57,8.2,30,315,42,51,50,3.6,1.41,510
Tamilnadu,Pudukottai,10.2978,78.7031,2019,7.56,318,0,189,11,2.4,0,140,24,20,5.3,1.9,0.09,190.8
Tamilnadu,Pudukottai,10.6028,78.5667,2019,7.02,1920,0,378,355,71,58,525,62,90,177,6.1,1,1152
Tamilnadu,Pudukottai,10.6083,78.55,2019,7.54,2520,0,549,511,43,1.1,430,40,80,318,9.5,4.55,1512
Tamilnadu,Ramanathapuram,9.4583,78.6083,2019,7.57,18450,0,634,5992,550,61,2240,160,447,3505,5.5,1.2,11070
Tamilnadu,Ramanathapuram,9.2333,78.7833,2019,7.68,6840,0,830,1576,314,132,710,56,139,1281,37,2.2,4104
Tamilnadu,Ramanathapuram,9.2833,79.1667,2019,7.45,1397,0,378,181,68,54,370,68,49,126,38,0,838.2
Tamilnadu,Ramanathapuram,9.2008,79.3794,2019,7.28,3760,0,232,724,515,127,810,320,2.4,444,64,0.82,2256
Tamilnadu,Ramanathapuram,9.5417,78.5375,2019,7.61,1491,0,537,181,57,50,75,14,9.7,308,4.9,0.92,894.6
Tamilnadu,Ramanathapuram,9.35,78.35,2019,7.57,7160,0,610,1619,935,32,1500,56,331,1039,4.2,0.68,4296
Tamilnadu,Ramanathapuram,9.3333,78.9528,2019,7.72,4160,0,500,925,118,27,990,200,119,543,43,0.53,2496
Tamilnadu,Ramanathapuram,9.6389,78.85,2019,7.77,2280,0,342,469,60,1.2,650,164,58,256,18,0.43,1368
Tamilnadu,Ramanathapuram,9.2833,79.275,2019,7.57,2900,0,561,512,162,86,790,144,105,352,83,0.63,1740
Tamilnadu,Ramanathapuram,9.175,78.45,2019,7.56,5350,0,378,1166,283,370,1180,200,165,691,24,0.56,3210
Tamilnadu,Ramanathapuram,9.2417,78.5125,2019,7.93,2970,0,634,512,200,6.2,450,104,46,549,8.5,0.64,1782
Tamilnadu,Ramanathapuram,9.5917,78.8667,2019,7.69,3590,0,220,953,80,4.1,1060,284,85,326,143,0.33,2154
Tamilnadu,Ramanathapuram,9.2842,79.0139,2019,7.57,890,0,281,82,34,78,355,98,27,60,23,0.2,534
Tamilnadu,Ramanathapuram,9.7667,79.0167,2019,7.84,8370,0,476,2091,491,10,1060,216,126,1315,18,0.64,5022
Tamilnadu,Ramanathapuram,9.2611,78.7653,2019,8.34,1667,0,866,99,76,1.5,130,36,9.7,370,6.9,1.38,1000.2
Tamilnadu,Ramanathapuram,9.3083,78.7444,2019,7.84,11660,0,464,3449,504,2,1820,320,248,1640,283,0.61,6996
Tamilnadu,Ramanathapuram,9.3056,79.0167,2019,7.92,804,0,354,75,33,1.8,420,144,15,28,25,0.19,482.4
Tamilnadu,Ramanathapuram,9.4417,78.5611,2019,7.67,6240,0,329,1636,415,28,1420,216,214,848,3.2,1.18,3744
