Well_ID,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS
,12.9283,80.1708,2020,7.5,1794,0,458,72,277,63,680,140,80,92,16,0.27,1076.4
,12.9222,80.2014,2020,7.6,1625,0,207,151,305,62,440,160,10,158,13,0.43,975
,13.0153,80.1367,2020,7.7,1819,0,360,189,270,57,430,124,29,205,29,0.71,1091.4
,13.0019,80.0694,2020,7.6,1474,0,262,112,256,60,460,108,46,113,19,0.35,884.4
,13.0483,80.1019,2020,7.7,1260,0,317,71,192,59,260,96,5,162,20,0.56,756
,13.0567,80.0819,2020,7.6,1960,0,561,334,8,47,380,116,22,241,47,0.4,1176
,13.0292,80.08,2020,7.6,2170,0,561,334,74,72,450,148,19,243,54,0.5,1302
,13.0747,80.2625,2020,7.7,507,0,128,89,10,2,110,36,5,56,7,0.5,304.2
,13.0556,80.2814,2020,7.4,1140,0,220,199,21,115,280,96,10,116,22,0.2,684
,12.9875,80.2639,2020,7.7,1960,0,293,476,30,2,370,128,12,261,10,0.3,1176
,12.9828,80.2636,2020,7.9,2010,0,128,589,23,7,280,68,27,297,20,0,1206
,12.9786,80.2656,2020,7.4,12130,0,171,4075,132,9,2080,376,277,1774,89,0.5,7278
,12.9572,80.2606,2020,7.7,2150,0,275,476,101,53,460,140,27,250,18,0.4,1290
,12.9542,80.2606,2020,7.7,2370,0,445,426,104,161,530,172,24,279,39,0.3,1422
,12.9539,80.2553,2020,7.7,2450,0,482,419,107,145,630,148,63,260,39,0.8,1470
,12.9433,80.2544,2020,7.8,1716,0,201,376,108,77,360,88,34,199,43,0.1,1029.6
,12.9272,80.2544,2020,7.9,464,0,140,64,20,6,150,44,10,31,8,0.5,278.4
,12.9875,80.2636,2020,7.7,508,0,146,75,15,8,145,42,10,37,8,0.3,304.8
,12.9197,80.2636,2020,7.6,1545,0,354,227,54,129,410,116,29,143,30,0.3,927
,12.9643,80.2621,2020,7.6,1672,0,317,277,108,99,460,108,46,151,23,0.4,1003.2
