State,District,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,Water_Quality
Tamilnadu,Namakal,11.4342,78.1344,2019,7.6,2290,0,549.18,333.23,140.5,72.6,520,68.0,85.064,247.6,8.3,1.7,1374.0,2
Tamilnadu,Namakal,11.1956,78.1087,2019,7.4,1625,0,353.916,255.24,125.6,44.9,570,80.0,89.9248,118.6,4.0,1.2,975.0,1
Tamilnadu,Namakal,11.1867,78.1681,2019,7.5,1663,0,469.854,219.79,90.3,41.6,570,144.0,51.0384,103.0,5.3,0.8,997.8,1
Tamilnadu,Namakal,11.5125,78.1417,2019,7.6,2580,0,713.934,404.13,134.6,23.6,680,108.0,99.6464,273.5,19.6,1.7,1548.0,2
Tamilnadu,Namakal,11.0883,78.0769,2019,7.6,1610,0,512.568,226.88,99.2,10.6,400,68.0,55.8992,179.9,38.5,1.0,966.0,1
Tamilnadu,Namakal,11.1083,78.0033,2019,7.5,1975,0,469.854,361.59,85.2,22.2,570,76.0,92.3552,186.5,11.5,1.4,1185.0,1
Tamilnadu,Namakal,11.1567,78.0214,2019,7.5,795,0,274.59,106.35,29.9,8.2,250,28.0,43.7472,72.0,4.8,0.9,477.0,1
Tamilnadu,Namakal,11.1471,77.9345,2019,7.4,789,0,292.896,85.08,24.0,13.5,215,30.0,34.0256,73.7,10.3,1.7,473.4,2
Tamilnadu,Namakal,11.4717,78.3044,2019,7.4,1740,0,256.284,333.23,115.5,78.0,550,68.0,92.3552,134.3,6.8,0.8,1044.0,1
Tamilnadu,Namakal,11.5167,78.3417,2019,7.5,1185,0,439.344,106.35,45.0,56.9,480,60.0,80.2032,45.6,4.0,1.4,711.0,1
Tamilnadu,Namakal,11.5083,78.3667,2019,7.4,1006,0,317.304,134.71,31.5,26.5,390,56.0,60.76,50.1,7.5,0.8,603.6,1
Tamilnadu,Namakal,11.5333,78.35,2019,7.7,1363,0,378.324,198.52,63.5,26.3,320,40.0,53.4688,149.3,6.6,1.0,817.8,1
Tamilnadu,Pudukottai,10.1667,78.9958,2019,7.35,1467,0,378.0,234.0,42.0,36.0,275,68.0,26.0,119.0,65.0,0.0,880.2,1
Tamilnadu,Pudukottai,10.075,79.0336,2019,7.57,3040,0,598.0,596.0,85.0,12.0,240,36.0,36.0,560.0,4.4,0.03,1824.0,1
Tamilnadu,Pudukottai,10.2306,78.9678,2019,6.67,672,0,171.0,92.0,25.0,15.0,155,50.0,7.3,55.0,7.1,0.0,403.2,0
Tamilnadu,Pudukottai,10.5736,79.0167,2019,7.02,2950,0,195.0,731.0,76.0,95.0,1050,276.0,88.0,154.0,7.6,0.0,1770.0,2
Tamilnadu,Pudukottai,10.575,78.7917,2019,7.42,2100,0,555.0,341.0,41.0,11.0,425,110.0,36.0,192.0,75.0,0.0,1260.0,1
Tamilnadu,Pudukottai,10.4125,78.6667,2019,6.99,270,0,134.0,18.0,1.3,1.1,106,37.0,3.4,5.0,2.7,0.0,162.0,0
Tamilnadu,Pudukottai,10.4778,78.9167,2019,7.38,4100,0,610.0,880.0,236.0,0.33,490,80.0,71.0,628.0,5.9,0.97,2460.0,2
Tamilnadu,Pudukottai,9.9333,79.1417,2019,7.41,13140,0,293.0,4033.0,356.0,9.1,860,40.0,185.0,2328.0,31.0,0.22,7884.0,2
Tamilnadu,Pudukottai,10.3861,78.8042,2019,7.58,3460,0,866.0,525.0,40.0,2.1,900,72.0,175.0,321.0,8.0,1.35,2076.0,2
Tamilnadu,Pudukottai,10.3792,78.8,2019,7.09,4600,0,464.0,1321.0,36.0,73.0,1640,208.0,272.0,281.0,5.0,0.9,2760.0,2
Tamilnadu,Pudukottai,10.55,79.05,2019,6.25,302,0,18.0,64.0,0.95,30.0,115,32.0,8.5,15.0,1.2,0.0,181.2,2
Tamilnadu,Pudukottai,10.4303,78.9786,2019,7.06,650,0,250.0,78.0,22.0,0.1,200,48.0,19.0,41.0,10.0,0.57,390.0,0
Tamilnadu,Pudukottai,10.2333,78.7458,2019,7.47,3870,0,537.0,882.0,155.0,4.0,460,48.0,83.0,623.0,12.0,0.88,2322.0,2
